Block,02A_EXS,02A_CON,02A_PRP,03A,03A,03A,13A,13A,13A,23A,23A,23A,23B,23B,23B,33A,33A,33A,33B,33B,33B,40A,40A,40A,43A,43A,43A,43B,43B,43B,43C,43C,43C,44A,44A,44A
1/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
